order_date,region,category,revenue,units
2026-05-01,North,Widgets,1075.16,51
2026-05-01,North,Gadgets,782.59,33
2026-05-01,North,Gizmos,453.24,17
2026-05-01,South,Widgets,1270.86,53
2026-05-01,South,Gadgets,877.3,34
2026-05-01,South,Gizmos,604.35,31
2026-05-01,East,Widgets,1581.38,70
2026-05-01,East,Gadgets,1180.89,61
2026-05-01,East,Gizmos,722.59,28
2026-05-02,North,Widgets,712.79,30
2026-05-02,North,Gadgets,489.56,26
2026-05-02,North,Gizmos,314.75,15
2026-05-02,South,Widgets,830.54,38
2026-05-02,South,Gadgets,625.55,29
2026-05-02,South,Gizmos,398.95,19
2026-05-02,East,Widgets,1031.37,46
2026-05-02,East,Gadgets,697.17,28
2026-05-02,East,Gizmos,465.92,18
2026-05-03,North,Widgets,643.09,34
2026-05-03,North,Gadgets,503.79,26
2026-05-03,North,Gizmos,303.29,16
2026-05-03,South,Widgets,852.03,46
2026-05-03,South,Gadgets,601.52,27
2026-05-03,South,Gizmos,388.04,17
2026-05-03,East,Widgets,966.11,52
2026-05-03,East,Gadgets,716.72,38
2026-05-03,East,Gizmos,476.27,20
2026-05-04,North,Widgets,1056.41,48
2026-05-04,North,Gadgets,737.43,31
2026-05-04,North,Gizmos,488.7,26
2026-05-04,South,Widgets,1413.2,66
2026-05-04,South,Gadgets,992.35,39
2026-05-04,South,Gizmos,588.21,29
2026-05-04,East,Widgets,1577.83,69
2026-05-04,East,Gadgets,1070.53,46
2026-05-04,East,Gizmos,699.31,34
2026-05-05,North,Widgets,1056.45,57
2026-05-05,North,Gadgets,764.17,29
2026-05-05,North,Gizmos,511.27,25
2026-05-05,South,Widgets,1424.88,66
2026-05-05,South,Gadgets,917.65,47
2026-05-05,South,Gizmos,607.08,28
2026-05-05,East,Widgets,1598.27,73
2026-05-05,East,Gadgets,1172.8,46
2026-05-05,East,Gizmos,691.92,27
2026-05-06,North,Widgets,1129.63,57
2026-05-06,North,Gadgets,752.76,36
2026-05-06,North,Gizmos,507.06,24
2026-05-06,South,Widgets,1322.89,59
2026-05-06,South,Gadgets,977.37,49
2026-05-06,South,Gizmos,596.73,23
2026-05-06,East,Widgets,1732.57,88
2026-05-06,East,Gadgets,1117.54,46
2026-05-06,East,Gizmos,695.16,29
2026-05-07,North,Widgets,1143.98,50
2026-05-07,North,Gadgets,760.76,31
2026-05-07,North,Gizmos,500.96,21
2026-05-07,South,Widgets,1416.98,71
2026-05-07,South,Gadgets,910.1,44
2026-05-07,South,Gizmos,606.49,28
2026-05-07,East,Widgets,1578.21,81
2026-05-07,East,Gadgets,1165.02,56
2026-05-07,East,Gizmos,764.08,33
2026-05-08,North,Widgets,1155.15,57
2026-05-08,North,Gadgets,783.66,40
2026-05-08,North,Gizmos,497.22,22
2026-05-08,South,Widgets,1361.41,53
2026-05-08,South,Gadgets,1004.11,39
2026-05-08,South,Gizmos,650.65,28
2026-05-08,East,Widgets,1609.07,74
2026-05-08,East,Gadgets,1117.93,53
2026-05-08,East,Gizmos,769.87,32
2026-05-09,North,Widgets,709.58,28
2026-05-09,North,Gadgets,483.09,20
2026-05-09,North,Gizmos,337.3,15
2026-05-09,South,Widgets,832.47,39
2026-05-09,South,Gadgets,653.8,35
2026-05-09,South,Gizmos,405.53,18
2026-05-09,East,Widgets,1087.89,60
2026-05-09,East,Gadgets,754.22,34
2026-05-09,East,Gizmos,495.98,19
2026-05-10,North,Widgets,678.33,30
2026-05-10,North,Gadgets,517.51,21
2026-05-10,North,Gizmos,328.5,14
2026-05-10,South,Widgets,925.7,40
2026-05-10,South,Gadgets,637.75,26
2026-05-10,South,Gizmos,391.42,15
2026-05-10,East,Widgets,1115.43,51
2026-05-10,East,Gadgets,772.48,34
2026-05-10,East,Gizmos,452.29,23
2026-05-11,North,Widgets,1081.92,47
2026-05-11,North,Gadgets,814.1,37
2026-05-11,North,Gizmos,477.83,18
2026-05-11,South,Widgets,1346.79,65
2026-05-11,South,Gadgets,991.7,53
2026-05-11,South,Gizmos,653.64,32
2026-05-11,East,Widgets,1759.98,77
2026-05-11,East,Gadgets,1197.06,46
2026-05-11,East,Gizmos,803.78,32
2026-05-12,North,Widgets,1142.9,44
2026-05-12,North,Gadgets,815.97,44
2026-05-12,North,Gizmos,497.68,20
2026-05-12,South,Widgets,1482.71,67
2026-05-12,South,Gadgets,940.47,49
2026-05-12,South,Gizmos,634.6,29
2026-05-12,East,Widgets,1639.44,70
2026-05-12,East,Gadgets,1137.77,57
2026-05-12,East,Gizmos,759.05,29
2026-05-13,North,Widgets,1167.71,56
2026-05-13,North,Gadgets,831.49,42
2026-05-13,North,Gizmos,499.2,25
2026-05-13,South,Widgets,1341.54,72
2026-05-13,South,Gadgets,1042.88,40
2026-05-13,South,Gizmos,606.03,30
2026-05-13,East,Widgets,1724.12,74
2026-05-13,East,Gadgets,1222.98,51
2026-05-13,East,Gizmos,779.66,32
2026-05-14,North,Widgets,1153.23,63
2026-05-14,North,Gadgets,798.02,36
2026-05-14,North,Gizmos,527.14,23
2026-05-14,South,Widgets,1491.64,81
2026-05-14,South,Gadgets,976.39,41
2026-05-14,South,Gizmos,623.78,26
2026-05-14,East,Widgets,1760.89,68
2026-05-14,East,Gadgets,1139.64,43
2026-05-14,East,Gizmos,786.41,34
2026-05-15,North,Widgets,1199.17,65
2026-05-15,North,Gadgets,826.1,39
2026-05-15,North,Gizmos,491.67,18
2026-05-15,South,Widgets,1470.05,57
2026-05-15,South,Gadgets,976.99,40
2026-05-15,South,Gizmos,655.01,27
2026-05-15,East,Widgets,1643.47,67
